"Column","Metafile heading","Metafile description","Null field for special schools","Null field for Local Authority","Null field for National records"
"268","MATVALOW_HI","English Baccalaureate Maths Value Added lower 95% confidence limit for high prior attainment band","","Yes","Yes"
"269","SCIVAUPP_FSM","English Baccalaureate Science Value upper 95% confidence limit for disadvantaged pupils","","Yes","Yes"
"270","SCIVALOW_FSM","English Baccalaureate Science Value lower 95% confidence limit for disadvantaged pupils","","Yes","Yes"
"271","SCIVAUPP_NFSM","English Baccalaureate Science Value upper 95% confidence limit for pupils who are not disadvantaged (non FSM+CLA pupils)","","Yes","Yes"
"272","SCIVALOW_NFSM","English Baccalaureate Science Value lower 95% confidence limit for pupils who are not disadvantaged (non FSM+CLA pupils)","","Yes","Yes"
"273","SCIVAUPP_LO","English Baccalaureate Science Value upper 95% confidence limit for low prior attainment band","","Yes","Yes"
"274","SCIVALOW_LO","English Baccalaureate Science Value lower 95% confidence limit for low prior attainment band","","Yes","Yes"
"275","SCIVAUPP_AV","English Baccalaureate Science Value upper 95% confidence limit for middle prior attainment band","","Yes","Yes"
"276","SCIVALOW_AV","English Baccalaureate Science Value lower 95% confidence limit for middle prior attainment band","","Yes","Yes"
"277","SCIVAUPP_HI","English Baccalaureate Science Value upper 95% confidence limit for high prior attainment band","","Yes","Yes"
"278","SCIVALOW_HI","English Baccalaureate Science Value Added lower 95% confidence limit for high prior attainment band","","Yes","Yes"
"279","HUMVAUPP_FSM","English Baccalaureate Humanities Value Added upper 95% confidence limit for disadvantaged pupils","","Yes","Yes"
"280","HUMVALOW_FSM","English Baccalaureate Humanities Value Added lower 95% confidence limit for disadvantaged pupils","","Yes","Yes"
"281","HUMVAUPP_NFSM","English Baccalaureate Humanities Value Added upper 95% confidence limit for pupils who are not disadvantaged (non FSM+CLA pupils)","","Yes","Yes"
"282","HUMVALOW_NFSM","English Baccalaureate Humanities Value Added lower 95% confidence limit for pupils who are not disadvantaged (non FSM+CLA pupils)","","Yes","Yes"
"283","HUMVAUPP_LO","English Baccalaureate Humanities Value Added upper 95% confidence limit for low prior attainment band","","Yes","Yes"
"284","HUMVALOW_LO","English Baccalaureate Humanities Value Added lower 95% confidence limit for low prior attainment band","","Yes","Yes"
"285","HUMVAUPP_AV","English Baccalaureate Humanities Value Added upper 95% confidence limit for middle prior attainment band","","Yes","Yes"
"286","HUMVALOW_AV","English Baccalaureate Humanities Value Added lower 95% confidence limit for middle prior attainment band","","Yes","Yes"
"287","HUMVAUPP_HI","English Baccalaureate Humanities Value Added upper 95% confidence limit for high prior attainment band","","Yes","Yes"
"288","HUMVALOW_HI","English Baccalaureate Humanities Value Added lower 95% confidence limit for high prior attainment band","","Yes","Yes"
"289","LANVAUPP_FSM","English Baccalaureate Languages Value Added upper 95% confidence limit for disadvantaged pupils","","Yes","Yes"
"290","LANVALOW_FSM","English Baccalaureate Languages Value Added lower 95% confidence limit for disadvantaged pupils ","","Yes","Yes"
"291","LANVAUPP_NFSM","English Baccalaureate Languages Value Added upper 95% confidence limit for pupils who are not disadvantaged (non FSM+CLA pupils)","","Yes","Yes"
"292","LANVALOW_NFSM","English Baccalaureate Languages Value Added lower 95% confidence limit for pupils who are not disadvantaged (non FSM+CLA pupils)","","Yes","Yes"
"293","LANVAUPP_LO","English Baccalaureate Languages Value Added upper 95% confidence limit for low prior attainment band","","Yes","Yes"
"294","LANVALOW_LO","English Baccalaureate Languages Value Added lower 95% confidence limit for low prior attainment band","","Yes","Yes"
"295","LANVAUPP_AV","English Baccalaureate Languages Value Added upper 95% confidence limit for middle prior attainment band","","Yes","Yes"
"296","LANVALOW_AV","English Baccalaureate Languages Value Added lower 95% confidence limit for middle prior attainment band","","Yes","Yes"
"297","LANVAUPP_HI","English Baccalaureate Languages Value Added upper 95% confidence limit for high prior attainment band","","Yes","Yes"
"298","LANVALOW_HI","English Baccalaureate Languages Value Added lower 95% confidence limit for high prior attainment band","","Yes","Yes"
