"Column","Metafile heading","Metafile description","Null field for special schools","Null field for Local Authority","Null field for National (all schools) records","Null field for National (maintained schools) records"
"266","ENGVALOW_AV","Lower 95% confidence limit for English Baccalaureate English Value Added measure for pupils with middle prior attainment","","Yes","Yes","Yes"
"267","ENGVAUPP_HI","Upper 95% confidence limit for English Baccalaureate English Value Added measure for pupils with high prior attainment","","Yes","Yes","Yes"
"268","ENGVALOW_HI","Lower 95% confidence limit for English Baccalaureate English Value Added measure for pupils with high prior attainment","","Yes","Yes","Yes"
"269","MATVAUPP_FSM","Upper 95% confidence limit for English Baccalaureate Maths Value Added measure for disadvantaged pupils","","Yes","Yes","Yes"
"270","MATVALOW_FSM","Lower 95% confidence limit for English Baccalaureate Maths Value Added measure for disadvantaged pupils","","Yes","Yes","Yes"
"271","MATVAUPP_NFSM","Upper 95% confidence limit for English Baccalaureate Maths Value Added measure for non-disadvantaged pupils","","Yes","Yes","Yes"
"272","MATVALOW_NFSM","Lower 95% confidence limit for English Baccalaureate Maths Value Added measure for non-disadvantaged pupils","","Yes","Yes","Yes"
"273","MATVAUPP_LO","Upper 95% confidence limit for English Baccalaureate Maths Value Added measure for pupils with low prior attainment","","Yes","Yes","Yes"
"274","MATVALOW_LO","Lower 95% confidence limit for English Baccalaureate Maths Value Added measure for pupils with low prior attainment","","Yes","Yes","Yes"
"275","MATVAUPP_AV","Upper 95% confidence limit for English Baccalaureate Maths Value Added measure for pupils with middle prior attainment","","Yes","Yes","Yes"
"276","MATVALOW_AV","Lower 95% confidence limit for English Baccalaureate Maths Value Added measure for pupils with middle prior attainment","","Yes","Yes","Yes"
"277","MATVAUPP_HI","Upper 95% confidence limit for English Baccalaureate Maths Value Added measure for pupils with high prior attainment","","Yes","Yes","Yes"
"278","MATVALOW_HI","Lower 95% confidence limit for English Baccalaureate Maths Value Added measure for pupils with high prior attainment","","Yes","Yes","Yes"
"279","SCIVAUPP_FSM","Upper 95% confidence limit for English Baccalaureate Science Value Added measure for disadvantaged pupils","","Yes","Yes","Yes"
"280","SCIVALOW_FSM","Lower 95% confidence limit for English Baccalaureate Science Value Added measure for disadvantaged pupils","","Yes","Yes","Yes"
"281","SCIVAUPP_NFSM","Upper 95% confidence limit for English Baccalaureate Science Value Added measure for non-disadvantaged pupils","","Yes","Yes","Yes"
"282","SCIVALOW_NFSM","Lower 95% confidence limit for English Baccalaureate Science Value Added measure for non-disadvantaged pupils","","Yes","Yes","Yes"
"283","SCIVAUPP_LO","Upper 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with low prior attainment","","Yes","Yes","Yes"
"284","SCIVALOW_LO","Lower 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with low prior attainment","","Yes","Yes","Yes"
"285","SCIVAUPP_AV","Upper 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with middle prior attainment","","Yes","Yes","Yes"
"286","SCIVALOW_AV","Lower 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with middle prior attainment","","Yes","Yes","Yes"
"287","SCIVAUPP_HI","Upper 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with high prior attainment","","Yes","Yes","Yes"
"288","SCIVALOW_HI","Lower 95% confidence limit for English Baccalaureate Science Value Added measure for pupils with high prior attainment","","Yes","Yes","Yes"
"289","HUMVAUPP_FSM","Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for disadvantaged pupils","","Yes","Yes","Yes"
"290","HUMVALOW_FSM","Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for disadvantaged pupils","","Yes","Yes","Yes"
"291","HUMVAUPP_NFSM","Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for non-disadvantaged pupils","","Yes","Yes","Yes"
"292","HUMVALOW_NFSM","Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for non-disadvantaged pupils","","Yes","Yes","Yes"
"293","HUMVAUPP_LO","Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with low prior attainment","","Yes","Yes","Yes"
"294","HUMVALOW_LO","Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with low prior attainment","","Yes","Yes","Yes"
"295","HUMVAUPP_AV","Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with middle prior attainment","","Yes","Yes","Yes"
"296","HUMVALOW_AV","Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with middle prior attainment","","Yes","Yes","Yes"
"297","HUMVAUPP_HI","Upper 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with high prior attainment","","Yes","Yes","Yes"
"298","HUMVALOW_HI","Lower 95% confidence limit for English Baccalaureate Humanities Value Added measure for pupils with high prior attainment","","Yes","Yes","Yes"
"299","LANVAUPP_FSM","Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for disadvantaged pupils","","Yes","Yes","Yes"
"300","LANVALOW_FSM","Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for disadvantaged pupils","","Yes","Yes","Yes"
"301","LANVAUPP_NFSM","Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for non-disadvantaged pupils","","Yes","Yes","Yes"
"302","LANVALOW_NFSM","Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for non-disadvantaged pupils","","Yes","Yes","Yes"
"303","LANVAUPP_LO","Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with low prior attainment","","Yes","Yes","Yes"
"304","LANVALOW_LO","Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with low prior attainment","","Yes","Yes","Yes"
"305","LANVAUPP_AV","Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with middle prior attainment","","Yes","Yes","Yes"
"306","LANVALOW_AV","Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with middle prior attainment","","Yes","Yes","Yes"
"307","LANVAUPP_HI","Upper 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with high prior attainment","","Yes","Yes","Yes"
"308","LANVALOW_HI","Lower 95% confidence limit for English Baccalaureate Languages Value Added measure for pupils with high prior attainment","","Yes","Yes","Yes"
"309","PBPUP","Percentage of pupils at the end of Key Stage 4 who are boys","","","",""
"310","PGPUP","Percentage of pupils at the end Key Stage 4 who are girls","","","",""
"311","PB24EngPrg","Percentage of boys achieving expected progress between Key Stage 2 and GCSE English","","","Yes",""
"312","PG24EngPrg","Percentage of girls achieving expected progress between Key Stage 2 and GCSE English","","","Yes",""
"313","PB24MathPrg","Percentage of boys achieving expected progress between Key Stage 2 and GCSE mathematics","","","Yes",""
"314","PG24MathPrg","Percentage of girls achieving expected progress between Key Stage 2 and GCSE mathematics","","","Yes",""
"315","PBAC5EM","Percentage of boys achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs","","","",""
"316","PGAC5EM","Percentage of girls achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs","","","",""
"317","PBL2BASICS","Percentage of boys achieving grades A*-C in both English and mathematics GCSEs","","","",""
"318","PGL2BASICS","Percentage of girls achieving grades A*-C in both English and mathematics GCSEs","","","",""
"319","PBEBACC_E","Percentage of boys with entries in all English Baccalaureate subject areas","","","",""
"320","PGEBACC_E","Percentage of girls with entries in all English Baccalaureate subject areas","","","",""
"321","PBEBACC","Percentage of boys achieving the English Baccalaureate","","","",""
"322","PGEBACC","Percentage of girls achieving the English Baccalaureate","","","",""
"323","BTAPSCP","Average capped point score achieved by boys","","","",""
"324","GTAPSCP","Average capped point score achieved by girls","","","",""
"325","BTAPSGCP","Average capped GCSE point score achieved by boys","","","",""
"326","GTAPSGCP","Average capped GCSE point score achieved by girls","","","",""
"327","PT24EngPrgEAL","Percentage of pupils for whom English is an additional language achieving expected progress between Key Stage 2 and GCSE English","","","Yes",""
"328","PT24MathPrgEAL","Percentage of pupils for whom English is an additional language achieving expected progress between Key Stage 2 and GCSE mathematics","","","Yes",""
"329","PTAC5EMEAL","Percentage of pupils for whom English is an additional language achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs","","","Yes",""
"330","PTL2BASICSEAL","Percentage of pupils for whom English is an additional language achieving grades A*-C in both English and mathematics GCSEs ","","","Yes",""
"331","PTEBACC_EEAL","Percentage of pupils for whom English is an additional language with entries in all English Baccalaureate subject areas ","","","Yes",""
"332","PTEBACCEAL","Percentage of pupils for whom English is an additional language achieving the English Baccalaureate","","","Yes",""
"333","TTAPSCPEAL","Average capped point score achieved by pupils for whom English is an additional language","","","Yes",""
"334","TTAPSGCPEAL","Average capped GCSE point score achieved by pupils for whom English is an additional language","","","Yes",""
"335","TNMOB","Number of pupils at the end of Key Stage 4 who are non-mobile","","","Yes",""
"336","PTNMOB","Percentage of pupils at the end of Key Stage 4 who are non-mobile","","","Yes",""
"337","PT24EngPrgNMOB","Percentage of non-mobile pupils achieving expected progress between Key Stage 2 and GCSE English","","","Yes",""
"338","PT24MathPrgNMOB","Percentage of non-mobile pupils achieving expected progress between Key Stage 2 and GCSE mathematics","","","Yes",""
"339","PTAC5EMNMOB","Percentage of non-mobile pupils achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs","","","Yes",""
"340","PTL2BASICSNMOB","Percentage of non-mobile pupils achieving grades A*-C in both English and mathematics GCSEs","","","Yes",""
"341","PTEBACC_ENMOB","Percentage of non-mobile pupils with entries in all English Baccalaureate subject areas ","","","Yes",""
"342","PTEBACCNMOB","Percentage of non-mobile pupils achieving the English Baccalaureate","","","Yes",""
"343","TFSMCLA_11","Number of disadvantaged pupils in 2011","","","Yes",""
"344","PTFSMCLA_11","Percentage of pupils who were disadvantaged in 2011","","","Yes",""
"345","TNOTFSMCLA_11","Number of non-disadvantaged pupils in 2011","","","Yes",""
"346","PTNOTFSMCLA_11","Percentage of pupils who were not disadvantaged in 2011","","","Yes",""
"347","PTFSMBASICS_11","Percentage of disadvantaged pupils achieving grades A*-C in both English and mathematics GCSEs in 2011","","","Yes",""
"348","PTNOTFSMBASICS_11","Percentage of non-disadvantaged pupils achieving grades A*-C in both English and mathematics GCSEs in 2011","","","Yes",""
"349","PTFSM24EngPrg_11","Percentage of disadvantaged pupils achieving expected progress between Key Stage 2 and GCSE English in 2011","","","Yes",""
"350","PTFSM24MathPrg_11","Percentage of disadvantaged pupils achieving expected progress between Key Stage 2 and GCSE Maths in 2011","","","Yes",""
"351","PTNOTFSM24EngPrg_11","Percentage of non-disadvantaged pupils achieving expected progress between Key Stage 2 and GCSE English in 2011","","","Yes",""
"352","PTNOTFSM24MathPrg_11","Percentage of non-disadvantaged pupils achieving expected progress between Key Stage 2 and GCSE mathematics in 2011","","","Yes",""
"353","PTAC5EMFSM_11","Percentage of disadvantaged pupils achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs in 2011","","","Yes",""
"354","PTAC5EMNFSM_11","Percentage of non-disadvantaged pupils achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs in 2011","","","Yes",""
"355","PTEBACC_EFSM_11","Percentage of disadvantaged pupils with entries in all English Baccalaureate subject areas in 2011","","","Yes",""
"356","PTEBACC_ENFSM_11","Percentage of non-disadvantaged pupils with entries in all English Baccalaureate subject areas in 2011","","","Yes",""
"357","PTEBACC_FSM_11","Percentage of disadvantaged pupils achieiving the English Baccalaureate in 2011","","","Yes",""
"358","PTEBACC_NFSM_11","Percentage of non-disadvantaged pupils achieiving the English Baccalaureate in 2011","","","Yes",""
"359","TAVENT_EFSM_11","Average number of Key Stage 4 GCSE and equivalents entries per disadvantaged pupil in 2011","","","Yes",""
"360","TAVENT_ENFSM_11","Average number of Key Stage 4 GCSE and equivalents entries per non-disadvantaged pupil in 2011","","","Yes",""
"361","TAVENT_GFSM_11","Average number of GCSE only entries per disadvantaged pupil in 2011","","","Yes",""
"362","TAVENT_GNFSM_11","Average number of GCSE only entries per non-disadvantaged pupil in 2011","","","Yes",""
"363","TTAPSCPFSM_11","Average capped point score achieved by disadvantaged pupils in 2011","","","Yes",""
"364","TTAPSCPNFSM_11","Average capped point score achieved by non-disadvantaged pupils in 2011","","","Yes",""
"365","TTAPSGCPFSM_11","Average capped GCSE point score achieved by disadvantaged pupils in 2011","","","Yes",""
"366","TTAPSGCPNFSM_11","Average capped GCSE point score achieved by non-disadvantaged pupils in 2011","","","Yes",""
"367","TTAPSPEPPFSM_11","Average point score per qualification entry per pupil (including equivalents) for disadvantaged pupils in 2011","","","Yes",""
"368","TTAPSPEPPNFSM_11","Average point score per qualification entry per pupil (including equivalents) for non-disadvantaged pupils in 2011","","","Yes",""
"369","TTAPSGPEPPFSM_11","Average points score per GCSE entry per pupil (excluding equivalents) for disadvantaged pupils in 2011","","","Yes",""
"370","TTAPSGPEPPNFSM_11","Average points score per GCSE entry per pupil (excluding equivalents) for non-disadvantaged pupils in 2011","","","Yes",""
